warmup=0  skip_sdma0=1

=== load: carregando checkpoint (ainda sem tracer) ===
    carregado em 6.0s

=== clip: encode do prompt ===
   325 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
   326 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
   327 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
   328 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   329 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   330 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   331 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   332 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   333 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   334 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   335 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   336 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   337 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   338 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   339 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   340 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   341 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
   342 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
   343 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
   344 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   345 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   346 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   347 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   348 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   349 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   350 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   351 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   352 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   353 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   354 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   355 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   356 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   357 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
   358 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
   359 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
   360 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   361 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   362 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   363 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
