27	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
27	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
27	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
27	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
28	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
28	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
28	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
28	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
28	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
28	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
28	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
28	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
28	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
28	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
29	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
29	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
29	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
29	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
29	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
29	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
29	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
29	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
29	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
29	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
30	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
30	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
30	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
30	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
30	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
30	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
30	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
30	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
30	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
30	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
31	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
31	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
31	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
31	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
31	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
31	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
31	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
31	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
31	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
